0.293636	0.825268	0.891415	0.279502	0.818879	0.917788
0.260492	0.846253	0.896164	0.244642	0.837539	0.928477
0.239092	0.861965	0.898313	0.236043	0.883160	0.874998
0.230684	0.866354	0.901733	0.236087	0.833898	0.939450
0.226870	0.868404	0.902952	0.232895	0.863319	0.905942
0.224230	0.870277	0.902755	0.292082	0.873133	0.814183
0.222312	0.871325	0.903716	0.236875	0.858730	0.903570
0.219665	0.872212	0.904759	0.222528	0.864041	0.913409
0.218329	0.873757	0.904303	0.262073	0.880303	0.840809
0.217141	0.873958	0.905909	0.314892	0.846871	0.833111
0.216085	0.875113	0.904999	0.236097	0.891369	0.864245
0.215273	0.875302	0.905617	0.218663	0.848591	0.937117
0.214137	0.875672	0.906327	0.218623	0.883421	0.891326
0.213443	0.876107	0.906623	0.221102	0.873026	0.902554
0.212210	0.876405	0.907236	0.215427	0.861767	0.923872
